"ID"	"State"	"InitialState"
"TCGA.43.A56V.01A.11R.A26W.07"	"S01"	"IS05"
"TCGA.58.A46N.01A.11R.A24H.07"	"S01"	"IS05"
"TCGA.66.2734.01A.01R.0980.07"	"S01"	"IS05"
"TCGA.21.5786.01A.01R.1635.07"	"S01"	"IS05"
"TCGA.37.A5EM.01A.21R.A27Q.07"	"S01"	"IS05"
"TCGA.85.7697.01A.11R.2125.07"	"S01"	"IS05"
"TCGA.60.2719.01A.01R.0851.07"	"S01"	"IS05"
"TCGA.58.8393.01A.11R.2326.07"	"S01"	"IS05"
"TCGA.33.4547.01A.01R.1201.07"	"S01"	"IS05"
"TCGA.94.A5I6.01A.21R.A27Q.07"	"S01"	"IS05"
"TCGA.39.5035.01A.01R.1443.07"	"S01"	"IS05"
"TCGA.70.6723.01A.11R.1820.07"	"S01"	"IS05"
"TCGA.56.A5DS.01A.11R.A27Q.07"	"S01"	"IS05"
"TCGA.85.6561.01A.11R.1820.07"	"S01"	"IS05"
"TCGA.21.1076.01A.01R.0692.07"	"S01"	"IS05"
"TCGA.66.2768.01A.01R.0851.07"	"S01"	"IS05"
"TCGA.94.8491.01A.11R.2326.07"	"S01"	"IS05"
"TCGA.96.8170.01A.11R.2296.07"	"S01"	"IS05"
"TCGA.66.2759.01A.01R.0851.07"	"S01"	"IS05"
"TCGA.66.2786.01A.01R.0851.07"	"S01"	"IS05"
"TCGA.63.A5MU.01A.11R.A26W.07"	"S01"	"IS05"
"TCGA.51.4079.01A.01R.1100.07"	"S01"	"IS05"
"TCGA.66.2767.01A.01R.0851.07"	"S01"	"IS05"
"TCGA.33.4586.01A.01R.1443.07"	"S01"	"IS05"
"TCGA.56.7822.01A.11R.2125.07"	"S01"	"IS05"
"TCGA.68.7757.01B.11R.2296.07"	"S01"	"IS05"
"TCGA.85.7710.01A.11R.2125.07"	"S01"	"IS05"
"TCGA.55.6983.11A.01R.1949.07"	"S02"	"IS04"
"TCGA.44.6776.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.77.7335.11A.01R.2045.07"	"S02"	"IS04"
"TCGA.77.7138.11A.01R.2045.07"	"S02"	"IS04"
"TCGA.44.6778.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.38.7271.01A.11R.2039.07"	"S02"	"IS04"
"TCGA.22.1016.01A.01R.0692.07"	"S02"	"IS04"
"TCGA.55.6971.11A.01R.1949.07"	"S02"	"IS04"
"TCGA.51.4081.11A.01R.1758.07"	"S02"	"IS04"
"TCGA.77.7337.11A.01R.2045.07"	"S02"	"IS04"
"TCGA.22.5481.11A.01R.1949.07"	"S02"	"IS04"
"TCGA.22.5478.11A.11R.1635.07"	"S02"	"IS04"
"TCGA.38.4625.11A.01R.1758.07"	"S02"	"IS04"
"TCGA.50.5942.01A.21R.1755.07"	"S02"	"IS04"
"TCGA.43.6647.11A.01R.1820.07"	"S02"	"IS04"
"TCGA.NC.A5HJ.01A.11R.A26W.07"	"S02"	"IS04"
"TCGA.44.5645.01A.01R.1628.07"	"S02"	"IS04"
"TCGA.50.5931.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.44.5645.11A.01R.1628.07"	"S02"	"IS04"
"TCGA.91.6836.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.55.8207.01A.11R.2241.07"	"S02"	"IS04"
"TCGA.50.5935.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.56.7582.11A.01R.2045.07"	"S02"	"IS04"
"TCGA.56.8309.11A.01R.2296.07"	"S02"	"IS04"
"TCGA.44.6777.11A.01R.1858.07"	"S02"	"IS04"
"TCGA.22.4593.11A.01R.1820.07"	"S02"	"IS04"
"TCGA.97.7553.01A.21R.2039.07"	"S02"	"IS04"
"TCGA.43.3394.11A.01R.1758.07"	"S02"	"IS04"
"TCGA.91.6849.11A.01R.1949.07"	"S02"	"IS04"
"TCGA.MP.A4T9.01A.11R.A24X.07"	"S03"	"IS07"
"TCGA.44.6775.01A.11R.1858.07"	"S03"	"IS07"
"TCGA.44.8120.01A.11R.2241.07"	"S03"	"IS07"
"TCGA.18.3417.01A.01R.1443.07"	"S03"	"IS07"
"TCGA.50.5946.02A.11R.2090.07"	"S03"	"IS07"
"TCGA.60.2703.01A.11R.2045.07"	"S03"	"IS07"
"TCGA.44.3396.01A.01R.1206.07"	"S03"	"IS07"
"TCGA.34.5239.01A.21R.1820.07"	"S03"	"IS07"
"TCGA.69.7978.01A.11R.2187.07"	"S03"	"IS07"
"TCGA.46.3767.01A.01R.0980.07"	"S03"	"IS07"
"TCGA.MP.A4TK.01A.11R.A24X.07"	"S03"	"IS07"
"TCGA.85.8287.01A.11R.2296.07"	"S03"	"IS07"
"TCGA.64.1679.01A.21R.2066.07"	"S03"	"IS07"
"TCGA.38.4629.01A.02R.1206.07"	"S03"	"IS07"
"TCGA.64.5815.01A.01R.1628.07"	"S03"	"IS07"
"TCGA.55.8091.01A.11R.2241.07"	"S03"	"IS07"
"TCGA.85.8351.01A.11R.2296.07"	"S03"	"IS07"
"TCGA.60.2704.01A.11R.2045.07"	"S03"	"IS07"
"TCGA.77.8008.01A.21R.2187.07"	"S03"	"IS07"
"TCGA.44.4112.01A.01R.1107.07"	"S03"	"IS07"
"TCGA.46.3766.01A.01R.0980.07"	"S03"	"IS07"
"TCGA.55.6642.01A.11R.1858.07"	"S03"	"IS07"
"TCGA.64.5775.01A.01R.1628.07"	"S03"	"IS07"
"TCGA.85.8288.01A.11R.2296.07"	"S03"	"IS07"
"TCGA.49.AARO.01A.12R.A41B.07"	"S03"	"IS07"
"TCGA.77.8007.01A.11R.2187.07"	"S03"	"IS07"
"TCGA.50.6590.01A.12R.1858.07"	"S04"	"IS08"
"TCGA.18.3410.01A.01R.0980.07"	"S04"	"IS08"
"TCGA.MP.A4T4.01A.11R.A262.07"	"S04"	"IS08"
"TCGA.63.6202.01A.11R.1820.07"	"S04"	"IS08"
"TCGA.22.4596.01A.01R.1201.07"	"S04"	"IS08"
"TCGA.50.5049.01A.01R.1628.07"	"S04"	"IS08"
"TCGA.97.A4LX.01A.11R.A24X.07"	"S04"	"IS08"
"TCGA.39.5011.01A.01R.1443.07"	"S04"	"IS08"
"TCGA.05.4397.01A.01R.1206.07"	"S04"	"IS08"
"TCGA.86.6851.01A.11R.1949.07"	"S04"	"IS08"
"TCGA.60.2712.01A.01R.0851.07"	"S04"	"IS08"
"TCGA.63.A5MT.01A.21R.A26W.07"	"S04"	"IS08"
"TCGA.43.A475.01A.11R.A24H.07"	"S04"	"IS08"
"TCGA.22.5489.01A.01R.1635.07"	"S04"	"IS08"
"TCGA.05.4398.01A.01R.1206.07"	"S04"	"IS08"
"TCGA.55.8301.01A.11R.2287.07"	"S04"	"IS08"
"TCGA.98.7454.01A.11R.2045.07"	"S04"	"IS08"
"TCGA.05.4249.01A.01R.1107.07"	"S05"	"IS01"
"TCGA.62.8398.01A.11R.2326.07"	"S05"	"IS01"
"TCGA.78.7161.01A.11R.2039.07"	"S05"	"IS01"
"TCGA.55.A48Y.01A.11R.A24H.07"	"S05"	"IS01"
"TCGA.62.A470.01A.11R.A24H.07"	"S05"	"IS01"
"TCGA.55.6983.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.73.4677.01A.01R.1206.07"	"S05"	"IS01"
"TCGA.44.7671.01A.11R.2066.07"	"S05"	"IS01"
"TCGA.69.7761.01A.11R.2170.07"	"S05"	"IS01"
"TCGA.MP.A4T7.01A.11R.A24X.07"	"S05"	"IS01"
"TCGA.93.7347.01A.11R.2187.07"	"S05"	"IS01"
"TCGA.73.4662.01A.01R.1206.07"	"S05"	"IS01"
"TCGA.50.5932.01A.11R.1755.07"	"S05"	"IS01"
"TCGA.75.7031.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.69.8453.01A.12R.2326.07"	"S05"	"IS01"
"TCGA.38.A44F.01A.11R.A24H.07"	"S05"	"IS01"
"TCGA.62.8394.01A.11R.2326.07"	"S05"	"IS01"
"TCGA.78.7159.01A.11R.2039.07"	"S05"	"IS01"
"TCGA.86.7701.01A.11R.2170.07"	"S05"	"IS01"
"TCGA.J2.8194.01A.11R.2241.07"	"S05"	"IS01"
"TCGA.NJ.A55A.01A.11R.A262.07"	"S05"	"IS01"
"TCGA.95.8039.01A.11R.2241.07"	"S05"	"IS01"
"TCGA.O1.A52J.01A.11R.A262.07"	"S05"	"IS01"
"TCGA.MP.A4SV.01A.11R.A24X.07"	"S05"	"IS01"
"TCGA.MP.A4T6.01A.32R.A262.07"	"S05"	"IS01"
"TCGA.55.8510.01A.11R.2403.07"	"S05"	"IS01"
"TCGA.NJ.A7XG.01A.12R.A39D.07"	"S05"	"IS01"
"TCGA.50.6673.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.55.8087.01A.11R.2241.07"	"S05"	"IS01"
"TCGA.86.6562.01A.11R.1755.07"	"S05"	"IS01"
"TCGA.55.8619.01A.11R.2403.07"	"S05"	"IS01"
"TCGA.99.7458.01A.11R.2039.07"	"S05"	"IS01"
"TCGA.95.A4VK.01A.11R.A262.07"	"S05"	"IS01"
"TCGA.75.6206.01A.11R.1755.07"	"S05"	"IS01"
"TCGA.44.7659.01A.11R.2066.07"	"S05"	"IS01"
"TCGA.55.7913.01B.11R.2241.07"	"S05"	"IS01"
"TCGA.55.8090.01A.11R.2241.07"	"S05"	"IS01"
"TCGA.05.4410.01A.21R.1858.07"	"S05"	"IS01"
"TCGA.55.6970.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.55.8508.01A.11R.2403.07"	"S05"	"IS01"
"TCGA.78.7147.01A.11R.2039.07"	"S05"	"IS01"
"TCGA.55.6971.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.91.6830.01A.11R.1949.07"	"S05"	"IS01"
"TCGA.55.8092.01A.11R.2241.07"	"S05"	"IS01"
"TCGA.97.8547.01A.11R.2403.07"	"S05"	"IS01"
"TCGA.05.5425.01A.02R.1628.07"	"S05"	"IS01"
"TCGA.75.5146.01A.01R.1628.07"	"S05"	"IS01"
"TCGA.MP.A4TJ.01A.51R.A262.07"	"S05"	"IS01"
"TCGA.77.7465.01A.11R.2045.07"	"S06"	"IS03"
"TCGA.66.2756.01A.01R.0851.07"	"S06"	"IS03"
"TCGA.85.7950.01A.11R.2187.07"	"S06"	"IS03"
"TCGA.43.7658.01A.11R.2125.07"	"S06"	"IS03"
"TCGA.63.A5ML.01A.31R.A27Q.07"	"S06"	"IS03"
"TCGA.56.7223.01A.11R.2045.07"	"S06"	"IS03"
"TCGA.75.6211.01A.11R.1755.07"	"S06"	"IS03"
"TCGA.O2.A5IB.01A.11R.A27Q.07"	"S06"	"IS03"
"TCGA.55.7815.01A.11R.2170.07"	"S06"	"IS03"
"TCGA.50.7109.01A.11R.2039.07"	"S06"	"IS03"
"TCGA.86.8358.01A.11R.2326.07"	"S06"	"IS03"
"TCGA.60.2695.01A.01R.0851.07"	"S06"	"IS03"
"TCGA.63.A5MB.01A.11R.A26W.07"	"S06"	"IS03"
"TCGA.L3.A524.01A.11R.A262.07"	"S06"	"IS03"
"TCGA.37.4132.01A.01R.1100.07"	"S06"	"IS03"
"TCGA.50.5931.01A.11R.1755.07"	"S06"	"IS03"
"TCGA.58.8390.01A.11R.2326.07"	"S06"	"IS03"
"TCGA.55.8620.01A.11R.2403.07"	"S06"	"IS03"
"TCGA.63.A5MW.01A.11R.A26W.07"	"S06"	"IS03"
"TCGA.37.5819.01A.01R.1635.07"	"S06"	"IS03"
"TCGA.34.8456.01A.21R.2326.07"	"S06"	"IS03"
"TCGA.NC.A5HL.01A.11R.A26W.07"	"S06"	"IS03"
"TCGA.O2.A52S.01A.11R.A262.07"	"S06"	"IS03"
"TCGA.77.8139.01A.11R.2247.07"	"S06"	"IS03"
"TCGA.77.8009.01A.11R.2187.07"	"S06"	"IS03"
"TCGA.22.5483.01A.01R.1820.07"	"S06"	"IS03"
"TCGA.55.7570.01A.11R.2039.07"	"S06"	"IS03"
"TCGA.33.4533.01A.01R.1201.07"	"S06"	"IS03"
"TCGA.90.7767.01A.11R.2125.07"	"S06"	"IS03"
"TCGA.22.4591.01A.01R.1201.07"	"S06"	"IS03"
"TCGA.NC.A5HH.01A.11R.A26W.07"	"S06"	"IS03"
"TCGA.64.5774.01A.01R.1628.07"	"S06"	"IS03"
"TCGA.77.8128.01A.11R.2247.07"	"S06"	"IS03"
"TCGA.85.7699.01A.11R.2125.07"	"S06"	"IS03"
"TCGA.39.5021.01A.01R.1443.07"	"S06"	"IS03"
"TCGA.77.8156.01A.11R.2247.07"	"S06"	"IS03"
